project,precision_p_value,precision_cliff_delta,precision_effect_size,precision_smote,precision,precision_percent,recall_p_value,recall_cliff_delta,recall_effect_size,recall_smote,recall,recall_percent,f1_p_value,f1_cliff_delta,f1_effect_size,f1_somte,f1,f1_percent,AUC_p_value,AUC_cliff_delta,AUC_effect_size,AUC_somte,AUC,AUC_percent,MCC_p_value,MCC_cliff_delta,MCC_effect_size,MCC_somte,MCC,MCC_percent,G-Mean_p_value,G-Mean_cliff_delta,G-Mean_effect_size,G-Mean_somte,G-Mean,G-Mean_percent
jruby-1.1,9.725601445817838e-06,-0.85,large,0.22,0.4,0.56,2.871746530825665e-07,0.925,large,0.83,0.53,1.55,8.125801458760845e-05,-0.85,large,0.34,0.45,0.76,0.34048912778230467,0.0825,negligible,0.74,0.73,1.02,8.142415969005297e-05,-0.844375,large,0.3,0.4,0.77,0.06106209709834713,0.225625,small,0.73,0.67,1.09
camel-1.4.0,3.5505008948369615e-08,-1.0,large,0.4,0.73,0.55,3.559304072927713e-08,0.994375,large,0.69,0.37,1.9,0.029639413336031577,0.240625,small,0.5,0.48,1.04,4.636429296009565e-07,0.7475,large,0.7,0.66,1.05,3.4894097642779656e-08,-0.96875,large,0.34,0.43,0.8,5.193062890764874e-08,0.963125,large,0.69,0.59,1.18
camel-2.10.0,0.6664268744342459,0.35,medium,0.08,0.31,0.27,3.51672380413779e-08,1.0,large,0.49,0.01,50.49,3.720151352122478e-08,0.985,large,0.14,0.02,7.34,3.2728092348886164e-08,1.0,large,0.66,0.5,1.3,8.009484677633039e-06,0.565,large,0.14,0.05,2.65,3.4918851711967574e-08,1.0,large,0.63,0.06,11.38
jruby-1.4.0,3.540463429660937e-08,-1.0,large,0.39,0.81,0.48,3.5517573253029944e-08,1.0,large,0.77,0.49,1.58,2.2427814531719885e-07,-0.93,large,0.51,0.61,0.84,0.0005630275620583633,-0.540625,large,0.71,0.73,0.97,3.5442245684273385e-08,-0.989375,large,0.36,0.56,0.64,0.10665260495507725,0.154375,small,0.7,0.69,1.02
wicket-1.3.0-beta2,3.53295161776705e-08,-1.0,large,0.17,0.35,0.48,3.5055273708469345e-08,0.999375,large,0.7,0.4,1.73,3.4635104712502574e-08,-1.0,large,0.27,0.37,0.72,8.65420915726511e-05,0.4975,large,0.68,0.67,1.02,3.499320605802497e-08,-0.999375,large,0.21,0.31,0.69,5.0781055703729945e-08,0.975625,large,0.68,0.61,1.11
hive-0.9.0,4.852320089466466e-06,0.7,large,0.54,0.15,3.6,3.5117437580074526e-08,1.0,large,0.4,0.01,59.78,3.420718363734928e-08,1.0,large,0.45,0.01,35.47,3.1036204870038904e-08,1.0,large,0.66,0.5,1.31,3.428021151434204e-08,1.0,large,0.36,0.03,12.73,3.5055273708469345e-08,1.0,large,0.6,0.03,19.34
groovy-1_6_BETA_1,0.6719330395007914,-0.29125,small,0.24,0.31,0.77,3.228616798814778e-08,1.0,large,0.82,0.12,6.77,5.005268388335112e-08,0.895625,large,0.37,0.16,2.28,3.522957542911581e-08,1.0,large,0.77,0.55,1.4,6.997361984042069e-08,0.9275,large,0.34,0.15,2.2,3.531701004591631e-08,1.0,large,0.77,0.27,2.82
wicket-1.5.3,2.5000358068317413e-08,1.0,large,0.08,0.0,1,3.479523471552653e-08,1.0,large,0.47,0.0,1,2.887171175357451e-08,1.0,large,0.14,0.0,1,3.45368837446348e-08,1.0,large,0.63,0.5,1.25,3.4013107282978924e-08,1.0,large,0.12,0.0,1,3.512988191203588e-08,1.0,large,0.6,0.0,1
wicket-1.3.0-incubating-beta-1,3.747854938182453e-08,-0.955,large,0.11,0.21,0.51,6.488219516929128e-08,0.94625,large,0.72,0.37,1.98,1.0417817010057414e-07,-0.885,large,0.18,0.26,0.71,1.8036768304950403e-05,0.606875,large,0.69,0.65,1.08,5.854996179134667e-05,-0.535,large,0.18,0.22,0.83,6.764380161271859e-07,0.754375,large,0.69,0.57,1.2
activemq-5.3.0,0.002659853219471146,-0.25,small,0.36,0.54,0.66,3.54547905725856e-08,1.0,large,0.62,0.03,19.11,3.525453741806526e-08,1.0,large,0.44,0.06,7.38,3.322268278426604e-08,1.0,large,0.73,0.51,1.43,3.539210492309493e-08,1.0,large,0.38,0.12,3.26,3.530450778424134e-08,1.0,large,0.72,0.14,5.3
lucene-2.3.0,0.04235626643334914,-0.65,large,0.61,0.74,0.83,3.553014144400866e-08,0.99875,large,0.71,0.21,3.31,3.8442118897566634e-08,0.971875,large,0.65,0.32,2.02,5.15834003453893e-08,0.985,large,0.76,0.6,1.26,2.3898802317299757e-06,0.725625,large,0.49,0.33,1.52,3.556786934502578e-08,0.99625,large,0.75,0.41,1.84
lucene-2.9.0,4.9013783199467865e-05,-0.799375,large,0.32,0.42,0.76,5.0139403890765036e-08,0.935625,large,0.69,0.23,3.08,2.944598862520658e-07,0.800625,large,0.42,0.26,1.61,1.1316249670864173e-07,0.849375,large,0.66,0.57,1.15,1.0342268068351685e-05,0.673125,large,0.27,0.19,1.43,6.045350099910507e-08,0.86875,large,0.64,0.41,1.56
derby-10.5.1.1,4.614634413923549e-08,-0.95,large,0.3,0.71,0.43,5.222153962833207e-08,0.984375,large,0.48,0.15,3.24,1.3206827125438498e-07,0.8175,large,0.36,0.24,1.52,3.750502751403127e-08,0.955625,large,0.65,0.57,1.15,0.015740790746786474,-0.326875,small,0.26,0.28,0.92,3.83474984182378e-08,0.98125,large,0.62,0.37,1.7
camel-2.9.0,8.193599265387035e-06,0.9,large,0.07,0.04,1.79,3.531701004591631e-08,1.0,large,0.65,0.0,431.83,3.420718363734928e-08,0.9975,large,0.12,0.0,43.36,3.4110024762885015e-08,1.0,large,0.69,0.5,1.37,4.266186883449426e-08,0.9575,large,0.14,0.01,20.85,3.409789688705434e-08,1.0,large,0.66,0.01,80.45
hbase-0.95.0,3.4561416126631255e-08,1.0,large,0.38,0.0,1,3.530450778424134e-08,1.0,large,0.43,0.0,1,3.420718363734928e-08,1.0,large,0.39,0.0,1,3.322268278426604e-08,1.0,large,0.6,0.5,1.2,3.4438906403097895e-08,1.0,large,0.19,0.0,1,3.4402227605495847e-08,1.0,large,0.56,0.0,1
hive-0.12.0,3.298635420281825e-08,1.0,large,0.11,0.0,1,3.43533756767956e-08,1.0,large,0.19,0.0,1,3.318713936589443e-08,1.0,large,0.13,0.0,1,5.9594398545994287e-08,0.925,large,0.54,0.5,1.07,6.519166663769316e-08,0.925,large,0.06,0.0,1,3.472124831192834e-08,1.0,large,0.39,0.0,1
all,3.554271352232285e-08,-1.0,large,0.07,0.57,0.12,3.554271352232285e-08,1.0,large,0.42,0.05,8.6,0.008531855887859027,0.3925,medium,0.11,0.09,1.25,3.478289408485083e-08,1.0,large,0.63,0.52,1.19,1.1634610477175045e-05,-0.67375,large,0.11,0.15,0.72,3.553014144400866e-08,1.0,large,0.58,0.21,2.69
derby-10.2.1.6,0.0005629558457751224,0.15,small,0.57,0.42,1.35,3.531701004591631e-08,1.0,large,0.42,0.0,130.54,3.530450778424134e-08,1.0,large,0.48,0.01,57.61,3.335329366789424e-08,1.0,large,0.63,0.5,1.25,3.45368837446348e-08,1.0,large,0.28,0.03,8.4,3.51672380413779e-08,1.0,large,0.58,0.04,14.34
activemq-5.0.0,8.621876079402798e-07,0.9,large,0.5,0.05,9.92,3.517969779901278e-08,1.0,large,0.58,0.0,1167.0,3.340089975609002e-08,1.0,large,0.52,0.0,522.0,2.9699603619604373e-08,1.0,large,0.73,0.5,1.47,3.423151113345613e-08,1.0,large,0.44,0.01,88.0,3.245998419213885e-08,1.0,large,0.71,0.01,129.64
lucene-3.0.0,0.04583962118630802,0.24625,small,0.21,0.16,1.35,3.54547905725856e-08,0.99625,large,0.58,0.05,10.61,3.529200939163127e-08,0.993125,large,0.3,0.07,4.19,3.500561189647301e-08,0.995,large,0.66,0.52,1.28,3.5367057803538484e-08,0.985625,large,0.22,0.05,4.15,3.5505008948369615e-08,0.99625,large,0.64,0.17,3.84
groovy-1_5_7,4.373448490633244e-06,-0.5475,large,0.07,0.21,0.35,9.191059841621693e-08,0.89375,large,0.59,0.28,2.11,0.0004157240238274892,-0.54625,large,0.13,0.22,0.6,0.002231567275364609,0.3875,medium,0.67,0.62,1.08,0.016670162505068684,-0.539375,large,0.14,0.21,0.68,2.1057956327677445e-07,0.7775,large,0.66,0.45,1.47
lucene-3.1,2.8586941241863124e-05,-0.72875,large,0.09,0.11,0.77,3.5505008948369615e-08,0.99625,large,0.61,0.19,3.25,0.06964817378221941,0.16125,small,0.15,0.13,1.11,3.527951486707399e-08,0.986875,large,0.69,0.57,1.2,1.040507512548175e-06,0.721875,large,0.16,0.11,1.51,3.556786934502578e-08,0.994375,large,0.68,0.4,1.69
groovy-1_6_BETA_2,0.045150353309995575,-0.365625,medium,0.2,0.31,0.64,3.530450778424134e-08,0.9975,large,0.73,0.11,6.52,2.9018795778121185e-07,0.8,large,0.3,0.15,2.06,3.500561189647301e-08,0.996875,large,0.72,0.55,1.32,4.304258994883806e-07,0.82625,large,0.27,0.14,1.9,3.556786934502578e-08,0.9975,large,0.71,0.26,2.69
hbase-0.94.0,1.737929981205645e-06,0.85,large,0.37,0.05,7.59,3.4832279577812416e-08,1.0,large,0.46,0.01,83.09,3.3520175064848715e-08,1.0,large,0.39,0.01,40.41,3.214770184454004e-08,1.0,large,0.63,0.5,1.25,3.1463135421165986e-08,1.0,large,0.25,0.01,20.48,3.51672380413779e-08,1.0,large,0.6,0.02,29.4
activemq-5.1.0,3.7486805277439727e-06,-0.45,medium,0.18,0.58,0.31,3.54547905725856e-08,1.0,large,0.64,0.14,4.5,0.2586912139993669,-0.199375,small,0.28,0.22,1.23,3.9045557146895324e-08,0.976875,large,0.7,0.57,1.22,0.7724881901720346,-0.299375,small,0.24,0.27,0.89,3.5117437580074526e-08,0.995,large,0.69,0.31,2.19
jruby-1.7.0.preview1,1.0953386905607463e-07,-0.8,large,0.16,0.46,0.34,3.4438906403097895e-08,1.0,large,0.73,0.37,1.99,9.372591680060788e-05,-0.774375,large,0.26,0.4,0.65,5.722358400124112e-08,0.929375,large,0.75,0.67,1.12,0.0003864860094002456,-0.786875,large,0.26,0.38,0.7,3.512988191203588e-08,0.985625,large,0.75,0.57,1.32
camel-2.11.0,3.079135903146908e-08,1.0,large,0.08,0.0,1,3.397682535887581e-08,1.0,large,0.45,0.0,1,3.290398730142619e-08,1.0,large,0.12,0.0,1,3.356798938853792e-08,1.0,large,0.67,0.5,1.33,3.372379813673754e-08,1.0,large,0.14,0.0,1,3.432897246653818e-08,1.0,large,0.62,0.0,1
jruby-1.5.0,3.802462804527596e-08,-0.96625,large,0.12,0.2,0.6,5.5170215843347457e-08,0.910625,large,0.84,0.57,1.47,7.53784619470985e-08,-0.950625,large,0.21,0.29,0.72,0.005409417040426226,0.39375,medium,0.75,0.72,1.04,4.303404295883171e-05,-0.660625,large,0.23,0.28,0.83,0.009616073515911122,0.3725,medium,0.74,0.7,1.05
hbase-0.95.2,3.485699530459918e-08,1.0,large,0.46,0.0,1,3.541716754730051e-08,1.0,large,0.42,0.0,1,3.5204628892129223e-08,1.0,large,0.41,0.0,1,3.448786465256816e-08,1.0,large,0.6,0.5,1.2,3.4832279577812416e-08,1.0,large,0.21,0.0,1,3.514233009889973e-08,1.0,large,0.55,0.0,1
hive-0.10.0,0.10082697003547746,0.6,large,0.41,0.2,2.06,3.5204628892129223e-08,1.0,large,0.53,0.0,133.38,3.415857399402544e-08,1.0,large,0.45,0.01,56.28,3.4918851711967574e-08,1.0,large,0.72,0.5,1.43,3.5030435108813624e-08,1.0,large,0.39,0.03,14.81,3.527951486707399e-08,1.0,large,0.68,0.03,24.43
activemq-5.2.0,2.703811412970057e-06,-0.75,large,0.32,0.65,0.5,3.5354540055467675e-08,1.0,large,0.82,0.2,4.09,1.4180674418930863e-07,0.78375,large,0.45,0.3,1.48,3.5204628892129223e-08,1.0,large,0.79,0.6,1.33,0.000312266486153831,0.44125,medium,0.41,0.33,1.25,3.547989199393842e-08,1.0,large,0.79,0.42,1.89
activemq-5.8.0,0.6666044568347145,0.35,medium,0.18,0.28,0.63,3.5442245684273385e-08,1.0,large,0.73,0.02,35.23,3.430458441504344e-08,1.0,large,0.28,0.04,7.37,3.397682535887581e-08,1.0,large,0.72,0.51,1.42,1.5034883130862846e-07,0.89625,large,0.25,0.07,3.67,3.464739948897464e-08,1.0,large,0.71,0.08,8.82
derby-10.3.1.4,3.797104784711433e-08,0.95,large,0.59,0.03,23.75,3.555528948898963e-08,1.0,large,0.47,0.0,1,3.504285248472279e-08,1.0,large,0.5,0.0,2017.0,3.403731405000141e-08,1.0,large,0.66,0.5,1.31,3.4414450074359677e-08,1.0,large,0.34,0.0,229.17,3.486935891658717e-08,1.0,large,0.62,0.0,352.14
